评论发表时间,评论内容,点赞数,回复数
Tue Feb 01 00:11:06 +0800 2022,这首歌今晚最佳了吧，唱的我热血澎湃！希望我们的祖国越来越好[虎爪比心],416,3
Tue Feb 01 00:11:05 +0800 2022,谢谢王嘉尔和其他三位老师的演唱[许愿虎]祝大家虎年大吉[福气虎]春节快乐🎉[羞嗒嗒],346,0
Tue Feb 01 00:12:10 +0800 2022,这首歌太棒了[心]我爱中国[许愿虎]大家虎年吉祥如意[虎爪比心]四位老师好棒啊！,278,0
Tue Feb 01 00:12:08 +0800 2022,超级好听的！王嘉尔和三位老师都超级棒的[good]祝大家新年快乐,256,2
Tue Feb 01 00:11:29 +0800 2022,王嘉尔好棒[亲亲],204,0
Tue Feb 01 00:12:08 +0800 2022,祝大家新年快乐[虎爪比心][虎爪比心][虎爪比心]感谢王嘉尔和三位老师的演唱[福气虎],186,0
Tue Feb 01 00:12:01 +0800 2022,今晚最佳 王嘉尔唱的我都不困了[福气虎][福气虎][福气虎][2022],144,0
Tue Feb 01 00:11:23 +0800 2022,王嘉尔真是深坑挖儿子 掘掘子了🙉,131,0
Tue Feb 01 00:13:21 +0800 2022,和王嘉尔一起祝福祖国[虎爪比心][虎爪比心]愿我们的祖国越来越好 国泰民安,119,0
Tue Feb 01 00:12:23 +0800 2022,太好听了！王嘉尔和三位老师都好稳！,91,0
Tue Feb 01 00:13:27 +0800 2022,嘉尔和我们祝大家虎年大吉，虎虎生威[好爱哦][好爱哦][好爱哦],76,0
Tue Feb 01 00:13:11 +0800 2022,《黄河长江》今晚最佳，好听！,68,0
Tue Feb 01 00:11:51 +0800 2022,气势磅礴（舞台），好听，好养眼！@陈坤 @王嘉尔 [好爱哦][好爱哦][好爱哦]太帅了,74,1
Tue Feb 01 00:13:30 +0800 2022,嘉尔好棒[爱你]这首歌好有意义[福气虎],59,0
Tue Feb 01 00:13:32 +0800 2022,四位都好帅，一身正气，塑我中国，骄傲[打call],49,0
Tue Feb 01 00:11:00 +0800 2022,这首好喜欢[泪],42,0
Tue Feb 01 00:13:57 +0800 2022,王嘉尔舞台超棒！！超级喜欢这个节目[心],37,0
Tue Feb 01 00:15:58 +0800 2022,我心中的最佳舞台，无论是从舞台设计还是王嘉尔和其他三位老师的演唱都太棒了，听完一股油然而生的自豪感，壮哉我中国[心],39,0
Tue Feb 01 00:12:55 +0800 2022,我爸我妈都要夸的舞台[开学季],35,0
Tue Feb 01 00:14:07 +0800 2022,王嘉尔和老师们的合作好好听！超级喜欢！,30,0
Tue Feb 01 00:17:01 +0800 2022,和王嘉尔一起！祝福祖国！[心][心][心][心][心],25,0
Tue Feb 01 00:16:57 +0800 2022,王嘉尔唱歌太好听了[虎爪比心][虎爪比心],24,0
Tue Feb 01 00:16:44 +0800 2022,我心中的今晚最佳 听哭了[泪]优秀青年歌手@王嘉尔 用歌声唱出对祖国的爱 歌颂祖国大好河山❤️,20,0
Tue Feb 01 00:12:53 +0800 2022,超好听，超喜欢[福气虎],16,1
Tue Feb 01 00:11:50 +0800 2022,王嘉尔好帅耶,19,0
Tue Feb 01 00:17:59 +0800 2022,王嘉尔好棒👍新年快乐[心],15,1
Tue Feb 01 00:17:44 +0800 2022,气壮山河，热血澎湃！感谢王嘉尔和其他三位老师一起带来这么棒的舞台❤️@王嘉尔,14,0
Tue Feb 01 00:13:35 +0800 2022,祝嘉尔跟各位老师们新年快乐[心][心],16,1
Tue Feb 01 00:17:22 +0800 2022,新年快乐，王嘉尔和三位老师唱的很好听[心],9,0
